24444;Reinhard Möller 0001;;;;;;;;;;https://d-nb.info/94681256X;;;978-3-18-317120-0;;phd/dnb/Moller95;2021-07-17;;;;1-219;VDI-Verlag;;;University of Wuppertal, Germany;;;;;Relevanz computergraphischer Methoden für die Automatisierungstechnik.;;;1995
24985;Dominik Herrmann;;;;;;;;;;https://d-nb.info/109158480X;;;978-3-658-13262-0;;phd/dnb/Herrmann16;2021-07-17;;;;1-490;Springer Vieweg;;;University of Hamburg, Germany;;;;;Beobachtungsmöglichkeiten im Domain Name System: Angriffe auf die Privatsphäre und Techniken zum Selbstdatenschutz.;;;2016
25031;Anne Koziolek;;;;;;;;;;https://d-nb.info/1047837439|https://nbn-resolving.org/urn:nbn:de:0072-323422;;;;;phd/dnb/Koziolek14;2021-07-17;;;;;KIT Scientific Publishing;;;;;;;;Automated Improvement of Software Architecture Models for Performance and Other Quality Attributes.;;;2014
25221;Thea Radüntz;;;;;;;;;;http://edoc.hu-berlin.de/18452/23979|https://d-nb.info/1241116970|https://nbn-resolving.org/urn:nbn:de:kobv:11-110-18452/23979-7;;;;;phd/dnb/Raduntz21;2021-09-23;;;;;;;habil;Humboldt University of Berlin, Germany;;;;;Biophysiological Mental-State Monitoring during Human-Computer Interaction.;;;2021
25503;Annejet P. Meijler;;;;;;;;;;https://d-nb.info/871441985;;;978-3-540-18204-7;;phd/dnb/Meijler87;2021-07-17;;;;1-181;Springer;;;;;;;;Automation in anesthesia - a relief?: A systemat. approach to computers in patient monitoring.;;;1987
25565;Julia Steube;;;;;;;;;;https://d-nb.info/1053805268;;;978-3-95605-004-6;;phd/dnb/Steube14;2021-07-17;;;;1-287;Universitäts-Verlag Rhein-Ruhr;;;;;;;;"""Wie erstelle ich ein elektronisches Wörterbuch?"": nichtprofessionelle Lexikografen und ihre Nachschlagewerke im Internet: eine explorative Untersuchung.";;;2014
25767;Michael Bruns;;;;;;;;;;https://d-nb.info/900635665;;;;;phd/dnb/Bruns89;2021-07-17;;;;;;;habil;RWTH Aachen University, Germany;;;;;Strukturentwicklungen zur Systemtechnik für Ingenieure.;;;1989
26109;Florian Jotzo;;;;;;;;;;https://d-nb.info/1174693118;;;978-3-8487-3616-4;;phd/dnb/Jotzo20;2021-07-17;;;;1-214;Nomos;;;;;;;;Der Schutz personenbezogener Daten in der Cloud, 2. Auflage.;;;2020
26135;Mayutan Arumaithurai;;;;;;;;;;https://d-nb.info/1162697784|https://nbn-resolving.org/urn:nbn:de:gbv:7-11858/00-1735-0000-002E-E446-7-5;;;;;phd/dnb/Arumaithurai18;2021-07-17;;;;;;;habil;University of Göttingen, Germany;;;;;An Intelligent and Powerful Data Plane Support To Enhance Future Communication.;;;2018
26335;Jürgen Rauschenbach;;;;;;;;;;https://d-nb.info/870212508;;;;;phd/dnb/Rauschenbach86;2021-07-17;;;;1-119;Iir;;;;;;;;Realisierung und Leistungsbewertung eines Transportdienstes am Beispiel des Rechnernetzes DELTA.;;;1986
26628;Roman Klinger;;;;;;;;;;https://d-nb.info/1217253475|https://nbn-resolving.org/urn:nbn:de:bsz:93-opus-ds-110119;;;;;phd/dnb/Klinger20;2021-07-17;;;;;;;habil;University of Stuttgart, Germany;;;;;Strukturierte Modellierung von Affekt in Text.;;;2020
26752;Thomas Schildhauer;;;;;;;;;;https://d-nb.info/920720846;;;978-3-8244-0113-0;;phd/dnb/Schildhauer92;2021-07-17;;;;1-181;Dt. Univ.-Verlag;;;;;;;;Strategisches Softwaremarketing: Übersicht und Bewertung.;;;1992
26847;Anja Bog;;;;;;;;;;https://d-nb.info/1033231886;;;978-3-642-38069-3;;phd/dnb/Bog13;2021-07-17;;;;1-164;Springer;;;;;;;;Benchmarking transaction and analytical processing systems: the creation of a mixed workload benchmark and its application.;;;2013
27006;Michael Wächter;;;;;;;;;;https://d-nb.info/1192467817;;;978-3-658-27665-2;;phd/dnb/Wachter19;2021-07-17;;;;1-217;Springer Vieweg;;;;;;;;Gestaltung tangibler Mensch-Maschine-Schnittstellen: Engineering-Methode für Planer und Entwickler.;;;2019
27216;Rainer Götze 0001;;;;;;;;;;https://d-nb.info/945389159;;;978-3-8154-2064-5;;phd/dnb/Gotze95;2021-07-17;;;;1-341;Teubner;;;;;;;;Dialogmodellierung für multimediale Benutzerschnittstellen.;;;1995
